split,model,n_train,n_test,r2_baseline,r2_full,delta_r2,mae_baseline,mae_full,delta_mae,rmse_baseline,rmse_full,delta_rmse,rho_baseline,rho_full,delta_rho,ndcg20_baseline,ndcg20_full,delta_ndcg20,p10_baseline,p10_full,delta_p10,alpha_baseline,alpha_full
0,ridge,119,27,0.056732109487941274,-0.04921088966046816,-0.10594299914840943,6.227005484566625,6.465084828133727,0.2380793435671018,7.6326949661343,8.049923918007629,0.4172289518733283,0.3119658119658119,0.25335775335775335,-0.058608058608058566,0.6785709172176979,0.6547890549953278,-0.02378186222237011,0.4,0.4,0.0,6.158482110660261,12.742749857031322
0,ols,119,27,0.024071792932506164,-0.11392079274582678,-0.13799258567833295,6.408308566665574,6.727450821603388,0.31914225493781423,7.763710207209772,8.294448908757756,0.5307387015479845,0.3199023199023199,0.25274725274725274,-0.06715506715506714,0.6785831911968006,0.6548941991904953,-0.023688992006305254,0.4,0.4,0.0,,
1,ridge,115,31,0.2063010647017467,0.2159022320788223,0.009601167377075615,5.127212495128127,4.931946411487717,-0.19526608364041032,7.7226291066148764,7.675777681059947,-0.04685142555492927,0.651209677419355,0.5951612903225807,-0.05604838709677429,0.49951431580158506,0.4877077134642403,-0.011806602337344763,0.7,0.6,-0.09999999999999998,6.158482110660261,12.742749857031322
1,ols,115,31,0.1860219411186752,0.18599412025422435,-2.7820864450855964e-05,5.2950091056062805,5.149978416037292,-0.1450306895689888,7.820664004847116,7.82079765450248,0.00013364965536410978,0.6524193548387097,0.6064516129032259,-0.04596774193548381,0.49951431580158506,0.48493245986617656,-0.014581855935408505,0.7,0.6,-0.09999999999999998,,
2,ridge,123,23,0.46339989283438066,0.4322243002875956,-0.031175592546785036,6.0889097202719205,6.093467502078963,0.00455778180704236,7.6864693704830644,7.906602837448437,0.22013346696537273,0.6551383399209486,0.6017786561264823,-0.05335968379446632,0.966181559485312,0.922364784248142,-0.04381677523717009,0.7,0.7,0.0,6.158482110660261,12.742749857031322
2,ols,123,23,0.4541266709066122,0.4215044968178394,-0.03262217408877277,6.207582259489285,6.296495557831137,0.08891329834185235,7.752601504831732,7.980893529813367,0.22829202498163514,0.6403162055335968,0.6067193675889329,-0.03359683794466395,0.963135823069424,0.9223648688093519,-0.040770954260072156,0.7,0.7,0.0,,
3,ridge,125,21,0.6864711753143333,0.6217962805668582,-0.06467489474747512,4.637074266285732,4.954702935831954,0.31762866954622204,5.656672404107582,6.21276874922555,0.5560963451179672,0.6246753246753247,0.5714285714285714,-0.05324675324675332,0.9749685946700896,0.9520839412448251,-0.022884653425264467,0.7,0.7,0.0,6.158482110660261,12.742749857031322
3,ols,125,21,0.6791225648091468,0.616865367667917,-0.06225719714122979,4.779491332881848,4.998349487770743,0.21885815488889548,5.722580092068984,6.253137754443243,0.5305576623742585,0.6207792207792208,0.5597402597402598,-0.061038961038961004,0.9552686160054139,0.9519636228621323,-0.003304993143281587,0.7,0.7,0.0,,
4,ridge,121,25,0.15424304925628252,0.22499698225501497,0.07075393299873245,5.555520554847122,5.160022140824205,-0.3954984140229163,7.863135737407479,7.527047933459526,-0.3360878039479527,0.7069230769230769,0.6615384615384615,-0.04538461538461536,0.49810660732620876,0.4871979395707834,-0.010908667755425372,0.8,0.7,-0.10000000000000009,6.158482110660261,12.742749857031322
4,ols,121,25,0.09726877960861968,0.1383693505861182,0.04110057097749853,5.8229923367507,5.596486633564312,-0.22650570318638863,8.123668933824293,7.9365828538400764,-0.18708607998421645,0.7069230769230769,0.6623076923076924,-0.0446153846153845,0.49810660732620876,0.48719798752187754,-0.010908619804331221,0.8,0.7,-0.10000000000000009,,
5,ridge,120,26,0.09224419478384238,0.116135701895687,0.023891507111844623,4.558479211862602,4.033147477750122,-0.5253317341124806,5.78347134161918,5.7068553706352,-0.07661597098397976,0.6831937183112684,0.5751410581579346,-0.10805266015333381,0.9836191045122512,0.9781576486771562,-0.005461455835095053,0.6,0.5,-0.09999999999999998,6.158482110660261,12.742749857031322
5,ols,120,26,0.028044420877703757,0.03447883713566402,0.006434416257960263,4.791679040693828,4.369569746710913,-0.4221092939829152,5.984491836865975,5.964650059357516,-0.019841777508458946,0.6893486166744329,0.5638570778254662,-0.1254915388489667,0.8637939352511622,0.8581534904342428,-0.005640444816919388,0.6,0.5,-0.09999999999999998,,
6,ridge,113,33,0.39696246256495793,0.3893889800072371,-0.007573482557720834,7.524440626109147,7.482289144864951,-0.0421514812441961,9.911668812664018,9.973714397500343,0.06204558483632461,0.6647727272727273,0.5919117647058824,-0.07286096256684493,0.9133150985934948,0.8924022809292068,-0.020912817664287986,0.6,0.6,0.0,6.158482110660261,12.742749857031322
6,ols,113,33,0.38862204821376234,0.38933433654971905,0.0007122883359567123,7.641502050363561,7.5850187157506115,-0.056483334612949854,9.979975960162857,9.974160660365515,-0.005815299797342632,0.6677807486631017,0.5902406417112299,-0.07754010695187175,0.913326249749945,0.8920792424179543,-0.021247007331990697,0.6,0.6,0.0,,
7,ridge,120,26,0.2538735604548691,0.2257013945185956,-0.028172165936273474,5.7660285770640165,5.736914920031931,-0.02911365703208535,7.308954513105504,7.445661407460412,0.13670689435490857,0.4427350427350427,0.39829059829059826,-0.04444444444444445,0.9665000034782693,0.965386242866281,-0.0011137606119882015,0.5,0.5,0.0,6.158482110660261,12.742749857031322
7,ols,120,26,0.23150443715922664,0.1785487408497457,-0.05295569630948094,5.941238309354905,6.0936703353644734,0.15243202600956884,7.417707882414059,7.669021300354115,0.2513134179400556,0.4427350427350427,0.39829059829059826,-0.04444444444444445,0.9665000034782693,0.965386242866281,-0.0011137606119882015,0.5,0.5,0.0,,
8,ridge,119,27,-0.5859566434681676,-0.47623626396880825,0.10972037949935931,5.981037920690879,5.865787063132024,-0.11525085755885467,9.47554895731657,9.141904062787308,-0.3336448945292627,0.7246642246642245,0.724053724053724,-0.0006105006105004973,0.44453453269066745,0.44482495904415975,0.0002904263534923013,0.6,0.6,0.0,6.158482110660261,6.158482110660261
8,ols,119,27,-0.6769648703856801,-0.574799341071603,0.10216552931407707,6.164066249796842,6.046688933333593,-0.11737731646324878,9.743628275746493,9.442159595164064,-0.30146868058242937,0.717948717948718,0.7087912087912087,-0.009157509157509236,0.4442912683728592,0.44428871171269996,-2.5566601592474925e-06,0.6,0.6,0.0,,
9,ridge,122,24,-0.028544888968546456,0.0203535790092354,0.048898467977781856,8.52916910823296,8.183746255073855,-0.34542285315910526,10.657123340792008,10.40071138357857,-0.2564119572134391,0.4252173913043478,0.4660869565217391,0.04086956521739127,0.8695379990061843,0.8748896731014499,0.005351674095265602,0.7,0.7,0.0,6.158482110660261,6.158482110660261
9,ols,122,24,-0.08196149657168572,-0.0323979072330387,0.04956358933864702,8.746465999674884,8.43074230849726,-0.3157236911776238,10.93035506390978,10.67706593524861,-0.25328912866116937,0.4269565217391304,0.4547826086956522,0.02782608695652178,0.8695380025317601,0.8748848601030129,0.005346857571252861,0.7,0.7,0.0,,
10,ridge,119,27,0.5046190639956142,0.5556757417384868,0.05105667774287259,6.872468940292387,6.360689649383391,-0.5117792909089953,9.160889092061009,8.675969026396697,-0.484920065664312,0.6984126984126984,0.7026862026862026,0.004273504273504258,0.8418585560513858,0.7657387764590655,-0.0761197795923203,0.8,0.8,0.0,6.158482110660261,12.742749857031322
10,ols,119,27,0.4879626823531027,0.5310937334280366,0.04313105107493387,7.071277604038008,6.58356908693818,-0.4877085170998283,9.313625854164112,8.912735103721063,-0.40089075044304856,0.6984126984126984,0.6898656898656899,-0.008547008547008517,0.8418585560513858,0.7621026663972414,-0.07975588965414437,0.8,0.8,0.0,,
11,ridge,116,30,0.32800659452995706,0.29873817370256917,-0.029268420827387898,4.481352631288368,4.522671666726699,0.04131903543833104,6.236407001037021,6.3707717269916735,0.13436472595465254,0.643159065628476,0.5519466073414906,-0.09121245828698543,0.6894862892165522,0.6339476130214186,-0.05553867619513364,0.8,0.7,-0.10000000000000009,6.158482110660261,12.742749857031322
11,ols,116,30,0.30537129411282804,0.26868697738258485,-0.036684316730243194,4.586483602252511,4.540161586336558,-0.046322015915952974,6.340570097661431,6.505843295691834,0.16527319803040275,0.6404894327030033,0.5519466073414906,-0.0885428253615127,0.6894832726247185,0.6339476130214186,-0.05553565960329998,0.8,0.7,-0.10000000000000009,,
12,ridge,120,26,-0.2257162306140985,-0.0009104872764551519,0.22480574333764336,5.925767463777516,5.2753490579967215,-0.6504184057807949,7.767309768898317,7.018968235666036,-0.7483415332322805,0.6312190210223231,0.6059155499737575,-0.025303471048565562,0.7297820044827731,0.763113755353193,0.03333175087041995,0.8,0.7,-0.10000000000000009,6.158482110660261,12.742749857031322
12,ols,120,26,-0.34596761653952424,-0.21582066657413024,0.130146949965394,6.256847376625897,5.982400903872941,-0.2744464727529561,8.13941069898459,7.7358923531655375,-0.40351834581905166,0.6339545314059517,0.6240383062652978,-0.009916225140653934,0.7300096954982401,0.7633109244196737,0.03330122892143361,0.8,0.7,-0.10000000000000009,,
13,ridge,122,24,0.3223917910070828,0.3353773614854453,0.012985570478362463,7.147695053332718,6.835179254417011,-0.31251579891570724,9.32866283261975,9.238843964763955,-0.0898188678557954,0.6252173913043478,0.6234782608695651,-0.0017391304347826875,0.8520466811744524,0.810887125399633,-0.041159555774819334,0.8,0.9,0.09999999999999998,6.158482110660261,12.742749857031322
13,ols,122,24,0.31060387587855076,0.32197311314723476,0.011369237268683996,7.255350204703023,7.085275567362577,-0.1700746373404467,9.409455353837442,9.331544366088647,-0.07791098774879579,0.6330434782608695,0.6286956521739131,-0.004347826086956386,0.8521272195921128,0.8150000232307064,-0.03712719636140638,0.8,0.9,0.09999999999999998,,
14,ridge,113,33,0.44589051687721115,0.4882278456256628,0.04233732874845164,4.526774030765578,4.333956010381102,-0.19281802038447626,6.1720806921149185,5.931603734572224,-0.24047695754269416,0.7937834224598931,0.7797459893048129,-0.014037433155080214,0.5930522944132229,0.5820394713888182,-0.011012823024404761,0.9,0.8,-0.09999999999999998,6.158482110660261,12.742749857031322
14,ols,113,33,0.3986980524834237,0.41181395347493466,0.013115900991510943,4.760647983360724,4.736893123036139,-0.02375486032458518,6.4295430580926105,6.359034228623308,-0.07050882946930237,0.7947860962566846,0.7820855614973262,-0.012700534759358395,0.5930523293686255,0.5820380230941974,-0.01101430627442812,0.9,0.8,-0.09999999999999998,,
15,ridge,123,23,0.43047738143342906,0.4566719940289764,0.02619461259554734,7.034163236077338,6.962206445752093,-0.07195679032524449,9.113243563522742,8.901199500044346,-0.21204406347839644,0.6419570247869298,0.650852503190444,0.008895478403514123,0.8553985627272697,0.8665739185869112,0.011175355859641578,0.8,0.8,0.0,6.158482110660261,6.158482110660261
15,ols,123,23,0.4148865608770347,0.44196980858057844,0.027083247703543756,7.103804731666416,7.117086727498118,0.013281995831702531,9.23713999705507,9.020826653303681,-0.21631334375138955,0.6340499328726951,0.650852503190444,0.0168025703177489,0.8549908143719255,0.8665739185869112,0.011583104214985762,0.7,0.8,0.10000000000000009,,
16,ridge,121,25,0.44473416873723404,0.4926307648248839,0.047896596087649845,4.118972584631567,3.7377502852413755,-0.38122229939019103,5.953870856947246,5.691293731246944,-0.262577125700302,0.7721326383393019,0.7313320103911631,-0.04080062794813877,0.5795265345712803,0.6413653759972456,0.061838841425965296,0.7,0.7,0.0,6.158482110660261,12.742749857031322
16,ols,121,25,0.4273432991318237,0.4765452074607138,0.049201908328890154,4.233840507854284,3.8059860084089663,-0.4278544994453175,6.046389340763069,5.780807739646764,-0.26558160111630524,0.7705929920016362,0.7567361749626458,-0.013856817038990443,0.5795163548268232,0.6414748836217373,0.06195852879491415,0.7,0.8,0.10000000000000009,,
17,ridge,111,35,0.48266847774490085,0.4648057916083135,-0.01786268613658737,7.684346140969566,7.662585650570422,-0.02176049039914396,10.503182352836195,10.682973159509798,0.17979080667360314,0.8176470588235296,0.7977591036414566,-0.01988795518207298,0.9513222488130614,0.6735108875013139,-0.27781136131174744,0.7,0.7,0.0,6.158482110660261,12.742749857031322
17,ols,111,35,0.4830695382361082,0.48495722302638233,0.0018876847902741245,7.72299738588582,7.607861398401638,-0.11513598748418197,10.499110275236568,10.479922842185719,-0.019187433050849023,0.8190476190476191,0.8016806722689077,-0.017366946778711423,0.9513222488130614,0.6749510316564472,-0.27637121715661417,0.7,0.7,0.0,,
18,ridge,121,25,-1.0339516271414686,-0.8980755348139515,0.13587609232751707,6.8825227171192145,6.569474507153693,-0.31304820996552163,10.185871228470717,9.839762523596274,-0.34610870487444245,0.4815384615384616,0.44230769230769235,-0.039230769230769236,0.537425603721104,0.5365043589948739,-0.0009212447262301193,0.5,0.5,0.0,6.158482110660261,6.158482110660261
18,ols,121,25,-1.164612726212158,-1.039948853672818,0.12466387253933986,7.128103521117334,6.85244655452042,-0.2756569665969133,10.507949456592833,10.200876996795213,-0.3070724597976202,0.4692307692307692,0.44846153846153847,-0.020769230769230707,0.5359748415192727,0.5365046518491975,0.0005298103299248291,0.5,0.5,0.0,,
19,ridge,121,25,-0.2165519885174656,-0.011197831742810305,0.2053541567746553,5.993797105084884,5.189359337636581,-0.8044377674483023,8.031473623209024,7.322307545048417,-0.7091660781606066,0.6369230769230769,0.6207692307692307,-0.016153846153846185,0.6222663305205052,0.6557325756479416,0.033466245127436456,0.7,0.7,0.0,6.158482110660261,12.742749857031322
19,ols,121,25,-0.2931271753672744,-0.1557719071216339,0.13735526824564048,6.228937131584148,5.718121614782991,-0.5108155168011574,8.280384814459628,7.82827309530785,-0.4521117191517785,0.6361538461538461,0.6230769230769231,-0.013076923076922986,0.6010053071645988,0.6229792837185227,0.02197397655392397,0.7,0.7,0.0,,
20,ridge,123,23,0.5929575722612896,0.6030323432776263,0.010074771016336692,4.49487443207285,4.706441228802938,0.2115667967300885,6.287266814770031,6.208970735717065,-0.07829607905296587,0.700592885375494,0.6897233201581028,-0.010869565217391242,0.9446288326414175,0.9447949465981579,0.00016611395674037688,0.8,0.7,-0.10000000000000009,6.158482110660261,12.742749857031322
