chromosome,position,gene_name,transcription_direction
chr21,14762784,None,0
chr21,14762784,None,0
chr21,14762784,None,0
chr7,12402341,VWDE,-1
chr7,12402341,VWDE,-1
chr7,12402341,VWDE,-1
chr3,9400868,SETD5,1
chr3,9400868,SETD5,1
chr3,9400868,SETD5,1
chr6,85596107,None,0
chr6,85596107,None,0
chr6,85596107,None,0
chr6,43427429,None,0
chr6,43427429,None,0
chr6,43427429,None,0
chr1,183989298,COLGALT2,-1
chr1,183989298,COLGALT2,-1
chr1,183989298,COLGALT2,-1
chr4,1883988,NSD2,1
chr4,1883988,NSD2,1
chr4,1883988,NSD2,1
chr1,160540484,None,0
chr1,160540484,None,0
chr1,160540484,None,0
chr5,90549961,None,0
chr5,90549961,None,0
chr5,90549961,None,0
chr4,62742398,None,0
chr4,62742398,None,0
chr4,62742398,None,0
chr11,21011866,NELL1,1
chr11,21011866,NELL1,1
chr11,21011866,NELL1,1
chr13,105245313,None,0
chr13,105245313,None,0
chr13,105245313,None,0
chr12,103475305,C12orf42,-1
chr12,103475305,C12orf42,-1
chr12,103475305,C12orf42,-1
chr10,66366898,CTNNA3,-1
chr10,66366898,CTNNA3,-1
chr10,66366898,CTNNA3,-1
chr5,4719728,None,0
chr5,4719728,None,0
chr5,4719728,None,0
chr12,78313867,None,0
chr12,78313867,None,0
chr12,78313867,None,0
chrX,14268081,None,0
chrX,14268081,None,0
chrX,14268081,None,0
chr13,90266083,None,0
chr13,90266083,None,0
chr13,90266083,None,0
chr12,18208538,None,0
chr12,18208538,None,0
chr1,241860958,EXO1,1
chr1,241860958,EXO1,1
chr1,241860958,EXO1,1
chr1,241860958,EXO1,1
chr1,241860958,EXO1,1
chr1,241860958,EXO1,1
chr1,241860958,EXO1,1
chr1,241860958,EXO1,1
chr1,241860958,EXO1,1
chr1,241860958,EXO1,1
chr1,241860958,EXO1,1
chr1,241860958,EXO1,1
chr10,8060431,GATA3,1
chr10,8060706,GATA3,1
chr10,8060706,GATA3,1
chr11,61247117,PGA5,1
chr11,61247117,PGA5,1
chr11,61247117,PGA5,1
chr12,6542796,IFFO1,-1
chr12,6542796,IFFO1,-1
chr12,6542796,IFFO1,-1
chr13,45338114,TPT1,-1
chr13,45338114,TPT1,-1
chr13,45338114,TPT1,-1
chr13,45338114,TPT1,-1
chr13,45338114,TPT1,-1
chr13,45338114,TPT1,-1
chr13,45338114,TPT1,-1
chr13,45338114,TPT1,-1
chr15,77837727,None,0
chr15,77837727,None,0
chr15,77837727,None,0
chr16,59198781,None,0
chr16,59198781,None,0
chr16,59198781,None,0
chr16,59198795,None,0
chr16,59198795,None,0
chr16,59198795,None,0
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr17,8441744,NDEL1,1
chr18,40661088,None,0
chr18,40661088,None,0
chr18,40661088,None,0
chr18,40661088,None,0
chr18,40661088,None,0
chr18,40661088,None,0
chr19,7208533,INSR,-1
chr19,7208533,INSR,-1
chr19,7208533,INSR,-1
chr2,135814587,LCT,-1
chr2,135814587,LCT,-1
chr2,135814587,LCT,-1
chr4,5891509,CRMP1,-1
chr4,5891509,CRMP1,-1
chr4,5891509,CRMP1,-1
chr5,154757995,LARP1,1
chr5,154758157,LARP1,1
chr5,154758157,LARP1,1
chr6,108611352,FOXO3,1
chr6,108611352,FOXO3,1
chr6,108611352,FOXO3,1
chr7,70027278,AUTS2,1
chr7,70027278,AUTS2,1
chr7,70027485,AUTS2,1
chr8,142878195,CYP11B1,-1
chr8,142878418,CYP11B1,-1
chr9,116544895,ASTN2,-1
chr9,116544895,ASTN2,-1
chr9,116544895,ASTN2,-1
